groq: 1 models x 3 tiers x 3 contracts, 10 cases x 3 repeats -> up to 9 cells
│ prompt_only │ none              │     0 │
└─────────────┴───────────────────┴───────┘

                   Projected chain reliability (upper bound)                   
┌─────────────────────────┬──────────┬────────┬─────────┬──────────┬──────────┐
│ cell                    │ per call │ 1 step │ 5 steps │ 10 steps │ 50 steps │
├─────────────────────────┼──────────┼────────┼─────────┼──────────┼──────────┤
│ best: gpt-oss-20b /     │   100.0% │ 100.0% │  100.0% │   100.0% │   100.0% │
│ json_schema / simple    │          │        │         │          │          │
│ worst: gpt-oss-20b /    │   100.0% │ 100.0% │  100.0% │   100.0% │   100.0% │
│ json_schema / simple    │          │        │         │          │          │
└─────────────────────────┴──────────┴────────┴─────────┴──────────┴──────────┘

3 of 8 cells have n<30 (smallest n=1); widest interval is +/-0.0%. Around 30x 
the repeats would put every cell over the threshold. Cells sitting at 0% or 
100% show a zero-width interval, which is an artefact of the approximation 
rather than precision.

Wrote runs\openai-gpt-oss-20b.json in 576.8 min
